,name,track_id,album,artist,artist_id,length,popularity,type,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,key,release_year,release_month,followers,genre
441,Master Exploder,spotify:track:56BNLFLPUL9NtIoxuC6dCQ,The Pick Of Destiny,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,2.4133333333333336,55,track,1,0.00962,0.311,0.934,0.00863,0.127,-3.942,0.0737,74.47,4,0.574,11,2006,11,1450815,alternative metal
442,Beelzeboss (The Final Showdown),spotify:track:0ffz9KBdCb7oJkSK0W7bbf,The Pick Of Destiny,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,5.596666666666667,59,track,1,0.0149,0.47,0.877,1.35e-06,0.171,-3.74,0.208,130.709,4,0.433,2,2006,11,1450815,alternative metal
443,Tribute,spotify:track:53XBXgtdqf1gmWMm3rqV27,Tenacious D,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,4.134216666666667,49,track,1,0.181,0.365,0.767,0.000856,0.0942,-6.185,0.0681,94.174,4,0.422,9,2001,9,1450815,alternative metal
444,Lee,spotify:track:4soFbcEueIBvyECy6AD6hD,Tenacious D,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,1.0364333333333333,38,track,1,0.00117,0.462,0.867,0.00255,0.106,-4.477,0.135,91.514,4,0.287,5,2001,9,1450815,alternative metal
445,Destiny,spotify:track:62ZQaNo7N6hf6U1myRbXcP,The Pick Of Destiny,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,0.6177666666666667,34,track,0,0.921,0.375,0.282,0.953,0.176,-6.801,0.0411,89.838,4,0.807,7,2006,11,1450815,alternative metal
446,Papagenu (He's My Sassafrass),spotify:track:3roVlQAELe3DGGTfCwcdvL,The Pick Of Destiny,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,2.4026666666666667,35,track,1,0.201,0.538,0.758,5.23e-05,0.351,-5.3,0.114,151.438,4,0.586,7,2006,11,1450815,alternative metal
447,Dude (I Totally Miss You),spotify:track:49E5m0yZWoxb7Yms94Ik8B,The Pick Of Destiny,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,2.894,44,track,1,0.17,0.627,0.478,6.92e-05,0.301,-7.141,0.038,129.962,3,0.378,4,2006,11,1450815,alternative metal
448,Break In-City (Storm the Gate!),spotify:track:33bzOaDLMfnzkIRKX1Zw7c,The Pick Of Destiny,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,1.3693333333333333,36,track,1,0.00124,0.511,0.984,1.05e-05,0.0997,-2.379,0.19,172.897,4,0.443,11,2006,11,1450815,alternative metal
449,The Pick of Destiny,spotify:track:6bGYLwrxv3j5sTwN0TLBdq,The Pick Of Destiny,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,2.5391,41,track,1,0.0311,0.738,0.865,3.23e-06,0.084,-3.861,0.0334,130.073,4,0.913,9,2006,11,1450815,alternative metal
450,The Government Totally Sucks,spotify:track:2cNvI8Wy4pBTsQh93dqr42,The Pick Of Destiny,Tenacious D,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,1.57555,37,track,1,0.42,0.544,0.894,0.0,0.394,-4.938,0.356,143.683,4,0.448,1,2006,11,1450815,alternative metal
